city,avg_weeks_to_peak,peak_streams,peak_listeners,songs_analyzed,songs_peaked_first_week,pct_peaked_first_week,songs_missing_release_date,songs_still_growing
Denver,0.1,49,38,12,11,91.7,0,0
Seattle,4.0,33,25,7,1,14.3,0,0
Chicago,4.4,33,24,12,0,0.0,0,0
Atlanta,1.0,32,25,8,0,0.0,0,0
Portland,0.7,30,19,5,1,20.0,0,0
Toronto,1.0,27,21,12,0,0.0,0,1
Detroit,3.0,27,24,4,0,0.0,0,1
New York City,6.0,22,16,12,1,8.3,0,5
Milwaukee,1.0,21,8,5,0,0.0,0,0
Salt Lake City,1.0,20,16,8,1,12.5,0,0
Nashville,0.9,19,13,9,2,22.2,0,0
Minneapolis,1.0,18,12,2,1,50.0,0,0
Charlotte,1.5,18,15,6,0,0.0,0,0
Los Angeles,4.1,18,15,10,1,10.0,0,0
San Jose,3.7,17,14,6,1,16.7,0,0
Boston,1.0,17,12,8,2,25.0,0,0
Vancouver,0.5,16,13,4,1,25.0,0,1
"Washington, D.C.",0.5,16,12,10,1,10.0,0,0
St. Louis,1.0,15,10,11,2,18.2,0,0
Philadelphia,1.7,15,12,11,1,9.1,0,0
London,0.4,15,11,11,9,81.8,0,0
Sacramento,1.4,14,11,10,0,0.0,0,0
Jacksonville,0.7,14,5,3,1,33.3,0,0
Dallas,2.0,14,14,9,4,44.4,0,0
New Orleans,1.0,13,10,8,1,12.5,0,0
Beijing,3.0,12,11,1,0,0.0,0,0
Birmingham,1.0,12,9,1,0,0.0,0,0
Baltimore,0.8,11,9,6,2,33.3,0,1
Kansas City,4.6,11,10,5,0,0.0,0,0
Calgary,3.0,11,8,3,0,0.0,0,0
Tokyo,2.2,11,7,11,0,0.0,0,0
Wilmington,2.0,10,6,2,0,0.0,0,0
Orlando,1.0,10,8,10,0,0.0,0,0
Tampa,1.0,9,5,2,1,50.0,0,0
Las Vegas,0.2,9,5,9,7,77.8,0,0
Hartford,1.2,9,7,11,0,0.0,0,0
Houston,0.9,9,8,10,7,70.0,0,0
Austin,0.5,9,7,11,1,9.1,0,0
Phoenix,1.3,9,7,8,1,12.5,0,1
Tulsa,0.5,9,7,3,1,33.3,0,0
San Antonio,1.3,8,5,4,0,0.0,0,0
Syracuse,0.5,8,7,4,1,25.0,0,0
Rochester,0.7,8,7,6,2,33.3,0,0
