city,avg_weeks_to_peak,peak_streams,peak_listeners,songs_analyzed,songs_peaked_first_week,pct_peaked_first_week,songs_missing_release_date,songs_still_growing,total_streams,total_listeners,consistency_score,avg_weeks_to_adopt,category
Denver,0.1,49,38,12,11,91.7,0,0,232,74,67.2,0.0,Early Adopter
Seattle,4.0,33,25,7,1,14.3,0,0,118,36,76.0,3.8,Late Bloomer
Chicago,4.4,33,24,12,0,0.0,0,0,218,51,80.9,2.8,Late Bloomer
Atlanta,1.0,32,25,8,0,0.0,0,0,111,36,73.7,0.3,Mid Adopter
Portland,0.7,30,19,5,1,20.0,0,0,105,24,81.8,0.3,Mid Adopter
Toronto,1.0,27,21,12,0,0.0,0,1,137,35,58.7,0.8,Mid Adopter
Detroit,3.0,27,24,4,0,0.0,0,1,78,29,82.6,2.0,Mid Adopter
New York City,6.0,22,16,12,1,8.3,0,5,191,44,68.4,0.0,Early Adopter
Nashville,0.9,19,13,9,2,22.2,0,0,65,23,63.3,0.9,Mid Adopter
Minneapolis,1.0,18,12,2,1,50.0,0,0,53,17,66.7,0.0,Early Adopter
Charlotte,1.5,18,15,6,0,0.0,0,0,73,20,78.9,0.0,Early Adopter
Los Angeles,4.1,18,15,10,1,10.0,0,0,86,30,62.5,4.0,Late Bloomer
San Jose,3.7,17,14,6,1,16.7,0,0,84,24,64.7,3.0,Late Bloomer
Boston,1.0,17,12,8,2,25.0,0,0,57,22,75.0,0.2,Mid Adopter
Vancouver,0.5,16,13,4,1,25.0,0,1,55,18,66.7,,Late Bloomer
St. Louis,1.0,15,10,11,2,18.2,0,0,53,22,60.5,0.8,Mid Adopter
London,0.4,15,11,11,9,81.8,0,0,69,22,58.8,0.0,Early Adopter
Sacramento,1.4,14,11,10,0,0.0,0,0,52,21,67.9,0.8,Mid Adopter
Dallas,2.0,14,14,9,4,44.4,0,0,71,22,66.7,2.0,Mid Adopter
Tokyo,2.2,11,7,11,0,0.0,0,0,94,41,66.0,1.6,Mid Adopter
Las Vegas,0.2,9,5,9,7,77.8,0,0,51,15,57.8,0.0,Early Adopter
Paris,4.8,8,7,11,0,0.0,0,0,52,17,58.3,4.5,Late Bloomer
