city,song,song_id,release_date,peak_date,peak_streams,peak_listeners,weeks_to_peak,is_still_growing,peaked_first_week
Adelaide,Althea,1748029276,2024-06-21,2024-07-12,2,2,3.0,False,False
Adelaide,That Thing,1807227251,2025-03-21,2025-04-25,1,1,5.0,False,False
Allentown,Althea,1748029276,2024-06-21,2024-06-21,2,2,0.0,False,True
Allentown,That Thing,1807227251,2025-03-21,2025-03-28,2,1,1.0,False,False
Birmingham,Althea,1748029276,2024-06-21,2024-06-28,12,9,1.0,False,False
Brasília,Breaking Me Down,1807227249,2025-04-25,2025-05-16,1,1,,True,False
Charlotte,Althea,1748029276,2024-06-21,2024-07-05,18,15,2.0,False,False
Charlotte,That Thing,1807227251,2025-03-21,2025-03-28,6,5,1.0,False,False
Cincinnati,Althea,1748029276,2024-06-21,2024-06-28,8,8,1.0,False,False
Cincinnati,That Thing,1807227251,2025-03-21,2025-03-28,2,2,1.0,False,False
Dallas,Cycles,1711474233,2023-11-10,2023-11-10,2,1,0.0,False,True
Dallas,That Thing,1807227251,2025-03-21,2025-03-21,6,5,0.0,False,True
Dallas,Althea,1748029276,2024-06-21,2024-06-21,14,14,0.0,False,True
Dallas,Crash,1711474239,2023-11-10,2023-11-10,1,1,0.0,False,True
Dallas,All In,1711474237,2023-11-10,2024-01-19,1,1,10.0,False,False
Gunnison,Holding On,1711474240,2023-11-10,2023-12-29,1,1,7.0,False,False
Gunnison,Slipping Away,1711474243,2023-11-10,2023-11-10,3,1,0.0,False,True
Gunnison,The Way That It Was,1711474242,2023-11-10,2024-01-12,1,1,9.0,False,False
Gunnison,What Home Is,1711474234,2023-11-10,2023-11-10,2,1,0.0,False,True
Gunnison,Cycles,1711474233,2023-11-10,2023-11-10,3,1,0.0,False,True
Gunnison,Kid,1711474235,2023-11-10,2023-11-10,1,1,0.0,False,True
Gunnison,All In,1711474237,2023-11-10,2024-01-19,1,1,10.0,False,False
Gunnison,Crash,1711474239,2023-11-10,2023-11-10,2,2,0.0,False,True
Gunnison,Althea,1748029276,2024-06-21,2024-06-28,1,1,,True,False
Gunnison,Easy,1711474241,2023-11-10,2023-11-10,1,1,0.0,False,True
Paris,Althea,1748029276,2024-06-21,2024-06-28,8,7,1.0,False,False
Paris,Crash,1711474239,2023-11-10,2023-12-22,1,1,6.0,False,False
Paris,Cycles,1711474233,2023-11-10,2023-12-22,2,1,6.0,False,False
Paris,The Way That It Was,1711474242,2023-11-10,2023-12-22,1,1,6.0,False,False
Paris,That Thing,1807227251,2025-03-21,2025-04-11,1,1,3.0,False,False
Paris,All In,1711474237,2023-11-10,2023-12-22,3,1,6.0,False,False
Paris,What Home Is,1711474234,2023-11-10,2023-12-22,1,1,6.0,False,False
Paris,Breaking Me Down,1807227249,2025-04-25,2025-05-02,2,1,1.0,False,False
Paris,Slipping Away,1711474243,2023-11-10,2023-12-22,1,1,6.0,False,False
Paris,Holding On,1711474240,2023-11-10,2023-12-22,2,1,6.0,False,False
Paris,Kid,1711474235,2023-11-10,2023-12-22,2,1,6.0,False,False
