city,song,song_id,release_date,peak_date,peak_streams,peak_listeners,weeks_to_peak,weeks_to_adopt,is_still_growing,peaked_first_week,total_streams
Adelaide,Althea,1748029276,2024-06-21,2024-07-12,2,2,3.0,0.0,False,False,4
Adelaide,That Thing,1807227251,2025-03-21,2025-04-25,1,1,5.0,5.0,False,False,1
Allentown,Althea,1748029276,2024-06-21,2024-06-21,2,2,0.0,0.0,False,True,4
Allentown,That Thing,1807227251,2025-03-21,2025-03-28,2,1,1.0,1.0,False,False,2
Birmingham,Althea,1748029276,2024-06-21,2024-06-28,12,9,1.0,0.0,False,False,34
Brasília,Breaking Me Down,1807227249,2025-04-25,2025-05-16,1,1,,3.0,True,False,1
Charlotte,Althea,1748029276,2024-06-21,2024-07-05,18,15,2.0,0.0,False,False,58
Charlotte,That Thing,1807227251,2025-03-21,2025-03-28,6,5,1.0,0.0,False,False,15
Cincinnati,Althea,1748029276,2024-06-21,2024-06-28,8,8,1.0,0.0,False,False,21
Cincinnati,That Thing,1807227251,2025-03-21,2025-03-28,2,2,1.0,0.0,False,False,3
Dallas,Cycles,1711474233,2023-11-10,2023-11-10,2,1,0.0,0.0,False,True,6
Dallas,That Thing,1807227251,2025-03-21,2025-03-21,6,5,0.0,0.0,False,True,10
Dallas,Althea,1748029276,2024-06-21,2024-06-21,14,14,0.0,0.0,False,True,53
Dallas,Crash,1711474239,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Dallas,All In,1711474237,2023-11-10,2024-01-19,1,1,10.0,10.0,False,False,1
Gunnison,Holding On,1711474240,2023-11-10,2023-12-29,1,1,7.0,0.0,False,False,2
Gunnison,Slipping Away,1711474243,2023-11-10,2023-11-10,3,1,0.0,0.0,False,True,3
Gunnison,The Way That It Was,1711474242,2023-11-10,2024-01-12,1,1,9.0,0.0,False,False,2
Gunnison,What Home Is,1711474234,2023-11-10,2023-11-10,2,1,0.0,0.0,False,True,6
Gunnison,Cycles,1711474233,2023-11-10,2023-11-10,3,1,0.0,0.0,False,True,4
Gunnison,Kid,1711474235,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,2
Gunnison,All In,1711474237,2023-11-10,2024-01-19,1,1,10.0,0.0,False,False,2
Gunnison,Crash,1711474239,2023-11-10,2023-11-10,2,2,0.0,0.0,False,True,2
Gunnison,Althea,1748029276,2024-06-21,2024-06-28,1,1,,1.0,True,False,1
Gunnison,Easy,1711474241,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Paris,Althea,1748029276,2024-06-21,2024-06-28,8,7,1.0,0.0,False,False,33
Paris,Crash,1711474239,2023-11-10,2023-12-22,1,1,6.0,6.0,False,False,1
Paris,Cycles,1711474233,2023-11-10,2023-12-22,2,1,6.0,6.0,False,False,4
Paris,The Way That It Was,1711474242,2023-11-10,2023-12-22,1,1,6.0,6.0,False,False,1
Paris,That Thing,1807227251,2025-03-21,2025-04-11,1,1,3.0,1.0,False,False,2
Paris,All In,1711474237,2023-11-10,2023-12-22,3,1,6.0,6.0,False,False,3
Paris,What Home Is,1711474234,2023-11-10,2023-12-22,1,1,6.0,6.0,False,False,1
Paris,Breaking Me Down,1807227249,2025-04-25,2025-05-02,2,1,1.0,1.0,False,False,2
Paris,Slipping Away,1711474243,2023-11-10,2023-12-22,1,1,6.0,6.0,False,False,1
Paris,Holding On,1711474240,2023-11-10,2023-12-22,2,1,6.0,6.0,False,False,2
Paris,Kid,1711474235,2023-11-10,2023-12-22,2,1,6.0,6.0,False,False,2
Tokyo,Althea,1748029276,2024-06-21,2024-06-28,11,5,1.0,0.0,False,False,29
Tokyo,That Thing,1807227251,2025-03-21,2025-04-18,9,6,4.0,0.0,False,False,23
Tokyo,What Home Is,1711474234,2023-11-10,2023-11-24,4,4,2.0,2.0,False,False,4
Tokyo,Cycles,1711474233,2023-11-10,2023-11-24,9,7,2.0,2.0,False,False,11
Tokyo,Easy,1711474241,2023-11-10,2023-11-24,2,2,2.0,2.0,False,False,3
Tokyo,The Way That It Was,1711474242,2023-11-10,2023-11-24,1,1,2.0,2.0,False,False,1
Tokyo,Holding On,1711474240,2023-11-10,2023-11-24,4,4,2.0,2.0,False,False,4
Tokyo,All In,1711474237,2023-11-10,2023-11-24,4,4,2.0,2.0,False,False,4
Tokyo,Crash,1711474239,2023-11-10,2023-11-24,4,3,2.0,2.0,False,False,9
Tokyo,Kid,1711474235,2023-11-10,2023-11-24,4,4,2.0,2.0,False,False,4
Tokyo,Slipping Away,1711474243,2023-11-10,2023-12-01,1,1,3.0,2.0,False,False,2
Toronto,Althea,1748029276,2024-06-21,2024-06-28,27,21,1.0,0.0,False,False,88
Toronto,What Home Is,1711474234,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,2
Toronto,That Thing,1807227251,2025-03-21,2025-05-16,6,4,,0.0,True,False,21
Toronto,Cycles,1711474233,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,3
Toronto,The Way That It Was,1711474242,2023-11-10,2023-11-17,2,1,1.0,1.0,False,False,3
Toronto,Holding On,1711474240,2023-11-10,2023-11-17,2,1,1.0,1.0,False,False,3
Toronto,Kid,1711474235,2023-11-10,2023-11-17,1,1,1.0,1.0,False,False,2
Toronto,Crash,1711474239,2023-11-10,2023-11-17,2,1,1.0,1.0,False,False,3
Toronto,All In,1711474237,2023-11-10,2023-11-17,2,1,1.0,1.0,False,False,4
Toronto,Slipping Away,1711474243,2023-11-10,2023-11-17,2,1,1.0,1.0,False,False,3
Toronto,Easy,1711474241,2023-11-10,2023-11-17,2,1,1.0,1.0,False,False,4
Toronto,Breaking Me Down,1807227249,2025-04-25,2025-05-02,1,1,1.0,1.0,False,False,1
Baltimore,Althea,1748029276,2024-06-21,2024-06-28,11,9,1.0,0.0,False,False,28
Baltimore,That Thing,1807227251,2025-03-21,2025-03-21,3,3,0.0,0.0,False,True,5
Baltimore,Cycles,1711474233,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Baltimore,Breaking Me Down,1807227249,2025-04-25,2025-05-09,1,1,2.0,2.0,False,False,1
Baltimore,Holding On,1711474240,2023-11-10,2024-02-02,1,1,,12.0,True,False,1
Baton Rouge,Althea,1748029276,2024-06-21,2024-06-28,2,2,1.0,1.0,False,False,5
Baton Rouge,That Thing,1807227251,2025-03-21,2025-04-18,2,2,4.0,3.0,False,False,5
Calgary,Althea,1748029276,2024-06-21,2024-06-28,11,8,1.0,0.0,False,False,22
Calgary,That Thing,1807227251,2025-03-21,2025-04-25,2,2,5.0,0.0,False,False,5
Chicago,Kid,1711474235,2023-11-10,2023-12-15,4,2,5.0,4.0,False,False,10
Chicago,What Home Is,1711474234,2023-11-10,2023-12-15,4,2,5.0,4.0,False,False,11
Chicago,Cycles,1711474233,2023-11-10,2023-12-15,5,2,5.0,4.0,False,False,12
Chicago,That Thing,1807227251,2025-03-21,2025-04-11,9,9,3.0,0.0,False,False,37
Chicago,Althea,1748029276,2024-06-21,2024-06-28,33,24,1.0,0.0,False,False,89
Chicago,Slipping Away,1711474243,2023-11-10,2023-12-15,4,1,5.0,4.0,False,False,9
Chicago,Crash,1711474239,2023-11-10,2023-12-15,3,2,5.0,4.0,False,False,9
Chicago,The Way That It Was,1711474242,2023-11-10,2023-12-29,4,1,7.0,4.0,False,False,10
Chicago,Holding On,1711474240,2023-11-10,2023-12-15,4,4,5.0,0.0,False,False,11
Chicago,Easy,1711474241,2023-11-10,2023-12-15,4,1,5.0,4.0,False,False,9
Chicago,All In,1711474237,2023-11-10,2023-12-15,4,2,5.0,4.0,False,False,10
Chicago,Breaking Me Down,1807227249,2025-04-25,2025-05-09,1,1,2.0,2.0,False,False,1
Denver,Holding On,1711474240,2023-11-10,2023-11-10,5,2,0.0,0.0,False,True,5
Denver,Althea,1748029276,2024-06-21,2024-06-28,49,38,1.0,0.0,False,False,120
Denver,Slipping Away,1711474243,2023-11-10,2023-11-10,6,2,0.0,0.0,False,True,8
Denver,The Way That It Was,1711474242,2023-11-10,2023-11-10,5,2,0.0,0.0,False,True,6
Denver,What Home Is,1711474234,2023-11-10,2023-11-10,7,2,0.0,0.0,False,True,10
Denver,Cycles,1711474233,2023-11-10,2023-11-10,8,3,0.0,0.0,False,True,14
Denver,That Thing,1807227251,2025-03-21,2025-03-21,20,15,0.0,0.0,False,True,44
Denver,Kid,1711474235,2023-11-10,2023-11-10,5,3,0.0,0.0,False,True,7
Denver,Crash,1711474239,2023-11-10,2023-11-10,3,2,0.0,0.0,False,True,4
Denver,All In,1711474237,2023-11-10,2023-11-10,4,2,0.0,0.0,False,True,6
Denver,Easy,1711474241,2023-11-10,2023-11-10,4,2,0.0,0.0,False,True,4
Denver,Breaking Me Down,1807227249,2025-04-25,2025-04-25,2,1,0.0,0.0,False,True,4
Detroit,Althea,1748029276,2024-06-21,2024-06-28,27,24,1.0,0.0,False,False,64
Detroit,That Thing,1807227251,2025-03-21,2025-04-11,4,3,3.0,0.0,False,False,11
Detroit,Cycles,1711474233,2023-11-10,2023-12-15,1,1,5.0,5.0,False,False,1
Detroit,Breaking Me Down,1807227249,2025-04-25,2025-05-16,2,1,,3.0,True,False,2
Houston,What Home Is,1711474234,2023-11-10,2023-11-10,1,0,0.0,0.0,False,True,1
Houston,That Thing,1807227251,2025-03-21,2025-04-11,3,3,3.0,0.0,False,False,12
Houston,Cycles,1711474233,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Houston,Kid,1711474235,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Houston,Althea,1748029276,2024-06-21,2024-06-21,9,8,0.0,0.0,False,True,27
Houston,Slipping Away,1711474243,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Houston,Crash,1711474239,2023-11-10,2023-11-10,1,1,0.0,0.0,False,True,1
Houston,Breaking Me Down,1807227249,2025-04-25,2025-05-09,1,1,2.0,2.0,False,False,2
Houston,Holding On,1711474240,2023-11-10,2023-12-08,1,1,4.0,4.0,False,False,1
