Song,Measure,Week,Issue,File Path
Easy,listeners,20240920,Missing HTML,html outputs/page_source_listeners_20240920_1711474241_by_city.html
Easy,listeners,20240913,Missing HTML,html outputs/page_source_listeners_20240913_1711474241_by_city.html
Easy,listeners,20240906,Missing HTML,html outputs/page_source_listeners_20240906_1711474241_by_city.html
Easy,listeners,20240830,Missing HTML,html outputs/page_source_listeners_20240830_1711474241_by_city.html
Easy,listeners,20240823,Missing HTML,html outputs/page_source_listeners_20240823_1711474241_by_city.html
Easy,listeners,20240816,Missing HTML,html outputs/page_source_listeners_20240816_1711474241_by_city.html
Easy,listeners,20240809,Missing HTML,html outputs/page_source_listeners_20240809_1711474241_by_city.html
Easy,listeners,20240802,Missing HTML,html outputs/page_source_listeners_20240802_1711474241_by_city.html
Easy,listeners,20240726,Missing HTML,html outputs/page_source_listeners_20240726_1711474241_by_city.html
Easy,listeners,20240719,Missing HTML,html outputs/page_source_listeners_20240719_1711474241_by_city.html
Easy,listeners,20240712,Missing HTML,html outputs/page_source_listeners_20240712_1711474241_by_city.html
Easy,listeners,20240705,Missing HTML,html outputs/page_source_listeners_20240705_1711474241_by_city.html
Easy,listeners,20240628,Missing HTML,html outputs/page_source_listeners_20240628_1711474241_by_city.html
Easy,listeners,20240621,Missing HTML,html outputs/page_source_listeners_20240621_1711474241_by_city.html
Easy,listeners,20240614,Missing HTML,html outputs/page_source_listeners_20240614_1711474241_by_city.html
Easy,listeners,20240607,Missing HTML,html outputs/page_source_listeners_20240607_1711474241_by_city.html
Easy,listeners,20240531,Missing HTML,html outputs/page_source_listeners_20240531_1711474241_by_city.html
Easy,listeners,20240524,Missing HTML,html outputs/page_source_listeners_20240524_1711474241_by_city.html
Easy,listeners,20240517,Missing HTML,html outputs/page_source_listeners_20240517_1711474241_by_city.html
Easy,listeners,20240510,Missing HTML,html outputs/page_source_listeners_20240510_1711474241_by_city.html
Easy,listeners,20240503,Missing HTML,html outputs/page_source_listeners_20240503_1711474241_by_city.html
Easy,listeners,20240426,Missing HTML,html outputs/page_source_listeners_20240426_1711474241_by_city.html
Easy,listeners,20240419,Missing HTML,html outputs/page_source_listeners_20240419_1711474241_by_city.html
Easy,listeners,20240412,Missing HTML,html outputs/page_source_listeners_20240412_1711474241_by_city.html
Easy,listeners,20240405,Missing HTML,html outputs/page_source_listeners_20240405_1711474241_by_city.html
Easy,listeners,20240329,Missing HTML,html outputs/page_source_listeners_20240329_1711474241_by_city.html
Easy,listeners,20240322,Missing HTML,html outputs/page_source_listeners_20240322_1711474241_by_city.html
Easy,listeners,20240315,Missing HTML,html outputs/page_source_listeners_20240315_1711474241_by_city.html
Easy,listeners,20240308,Missing HTML,html outputs/page_source_listeners_20240308_1711474241_by_city.html
Easy,listeners,20240301,Missing HTML,html outputs/page_source_listeners_20240301_1711474241_by_city.html
Easy,listeners,20240223,Missing HTML,html outputs/page_source_listeners_20240223_1711474241_by_city.html
Easy,listeners,20240216,Missing HTML,html outputs/page_source_listeners_20240216_1711474241_by_city.html
Easy,listeners,20240209,Missing HTML,html outputs/page_source_listeners_20240209_1711474241_by_city.html
Easy,listeners,20240202,Missing HTML,html outputs/page_source_listeners_20240202_1711474241_by_city.html
Easy,listeners,20240126,Missing HTML,html outputs/page_source_listeners_20240126_1711474241_by_city.html
Easy,listeners,20240119,Missing HTML,html outputs/page_source_listeners_20240119_1711474241_by_city.html
Easy,listeners,20240112,Missing HTML,html outputs/page_source_listeners_20240112_1711474241_by_city.html
Easy,listeners,20240105,Missing HTML,html outputs/page_source_listeners_20240105_1711474241_by_city.html
Easy,listeners,20231229,Missing HTML,html outputs/page_source_listeners_20231229_1711474241_by_city.html
Easy,listeners,20231222,Missing HTML,html outputs/page_source_listeners_20231222_1711474241_by_city.html
