City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,257,39,-85%,20250404,That Thing,1807227251,listeners
Chicago,9,3,-67%,20250404,That Thing,1807227251,listeners
Boston,3,2,-33%,20250404,That Thing,1807227251,listeners
London,5,2,-60%,20250404,That Thing,1807227251,listeners
San Jose,5,2,-60%,20250404,That Thing,1807227251,listeners
Amsterdam,1,1,0%,20250404,That Thing,1807227251,listeners
Baltimore,1,1,0%,20250404,That Thing,1807227251,listeners
Belfast,0,1,-,20250404,That Thing,1807227251,listeners
Buffalo,0,1,-,20250404,That Thing,1807227251,listeners
Denver,9,1,-89%,20250404,That Thing,1807227251,listeners
Edmonton,1,1,0%,20250404,That Thing,1807227251,listeners
Halifax,0,1,-,20250404,That Thing,1807227251,listeners
Houston,3,1,-67%,20250404,That Thing,1807227251,listeners
Los Angeles,6,1,-83%,20250404,That Thing,1807227251,listeners
Manchester,0,1,-,20250404,That Thing,1807227251,listeners
Mesa,2,1,-50%,20250404,That Thing,1807227251,listeners
Morgantown,0,1,-,20250404,That Thing,1807227251,listeners
New York City,8,1,-88%,20250404,That Thing,1807227251,listeners
Orlando,3,1,-67%,20250404,That Thing,1807227251,listeners
Philadelphia,1,1,0%,20250404,That Thing,1807227251,listeners
Pécs,0,1,-,20250404,That Thing,1807227251,listeners
Roanoke,4,1,-75%,20250404,That Thing,1807227251,listeners
Rochester,0,1,-,20250404,That Thing,1807227251,listeners
San Diego,2,1,-50%,20250404,That Thing,1807227251,listeners
Seattle,4,1,-75%,20250404,That Thing,1807227251,listeners
Seoul,0,1,-,20250404,That Thing,1807227251,listeners
Tacoma,3,1,-67%,20250404,That Thing,1807227251,listeners
Tokyo,2,1,-50%,20250404,That Thing,1807227251,listeners
Toronto,1,1,0%,20250404,That Thing,1807227251,listeners
Wichita,2,1,-50%,20250404,That Thing,1807227251,listeners
Winnipeg,0,1,-,20250404,That Thing,1807227251,listeners
Allentown,1,0,-100%,20250404,That Thing,1807227251,listeners
Asheville,2,0,-100%,20250404,That Thing,1807227251,listeners
Atlanta,10,0,-100%,20250404,That Thing,1807227251,listeners
Auckland,1,0,-100%,20250404,That Thing,1807227251,listeners
Bakersfield,1,0,-100%,20250404,That Thing,1807227251,listeners
Barnstable,1,0,-100%,20250404,That Thing,1807227251,listeners
Bayonne,1,0,-100%,20250404,That Thing,1807227251,listeners
Bemidji,1,0,-100%,20250404,That Thing,1807227251,listeners
Billings,0,0,-100%,20250404,That Thing,1807227251,listeners
Boise,1,0,-100%,20250404,That Thing,1807227251,listeners
Bordeaux,1,0,-100%,20250404,That Thing,1807227251,listeners
Boulder,1,0,-100%,20250404,That Thing,1807227251,listeners
Bratislava,1,0,-100%,20250404,That Thing,1807227251,listeners
Brisbane,2,0,-100%,20250404,That Thing,1807227251,listeners
Brockton,1,0,-100%,20250404,That Thing,1807227251,listeners
Burlington,1,0,-100%,20250404,That Thing,1807227251,listeners
Calgary,2,0,-100%,20250404,That Thing,1807227251,listeners
Cape Coral,2,0,-100%,20250404,That Thing,1807227251,listeners
Cape Town,1,0,-100%,20250404,That Thing,1807227251,listeners
Charleroi,1,0,-100%,20250404,That Thing,1807227251,listeners
Charleston,1,0,-100%,20250404,That Thing,1807227251,listeners
Charlotte,5,0,-100%,20250404,That Thing,1807227251,listeners
Chowchilla,1,0,-100%,20250404,That Thing,1807227251,listeners
Christchurch,2,0,-100%,20250404,That Thing,1807227251,listeners
Cincinnati,2,0,-100%,20250404,That Thing,1807227251,listeners
Circleville,1,0,-100%,20250404,That Thing,1807227251,listeners
Cleveland,2,0,-100%,20250404,That Thing,1807227251,listeners
Columbus,2,0,-100%,20250404,That Thing,1807227251,listeners
Cookeville,1,0,-100%,20250404,That Thing,1807227251,listeners
Crawfordsville,1,0,-100%,20250404,That Thing,1807227251,listeners
Dallas,2,0,-100%,20250404,That Thing,1807227251,listeners
Detroit,2,0,-100%,20250404,That Thing,1807227251,listeners
Dublin,1,0,-100%,20250404,That Thing,1807227251,listeners
Fort Wayne,1,0,-100%,20250404,That Thing,1807227251,listeners
Fort Worth,1,0,-100%,20250404,That Thing,1807227251,listeners
Frankfurt Am Main,1,0,-100%,20250404,That Thing,1807227251,listeners
Gastonia,1,0,-100%,20250404,That Thing,1807227251,listeners
Glasgow,2,0,-100%,20250404,That Thing,1807227251,listeners
Gordon,1,0,-100%,20250404,That Thing,1807227251,listeners
Hartford,3,0,-100%,20250404,That Thing,1807227251,listeners
Helsinki,1,0,-100%,20250404,That Thing,1807227251,listeners
Hendersonville,1,0,-100%,20250404,That Thing,1807227251,listeners
Indianapolis,3,0,-100%,20250404,That Thing,1807227251,listeners
Jacksonville,1,0,-100%,20250404,That Thing,1807227251,listeners
Johannesburg,2,0,-100%,20250404,That Thing,1807227251,listeners
Joliette,1,0,-100%,20250404,That Thing,1807227251,listeners
Kansas City,0,0,-100%,20250404,That Thing,1807227251,listeners
Kaohsiung,1,0,-100%,20250404,That Thing,1807227251,listeners
Kelowna,2,0,-100%,20250404,That Thing,1807227251,listeners
Knoxville,1,0,-100%,20250404,That Thing,1807227251,listeners
Lake Butler,1,0,-100%,20250404,That Thing,1807227251,listeners
Lansing,2,0,-100%,20250404,That Thing,1807227251,listeners
Las Vegas,3,0,-100%,20250404,That Thing,1807227251,listeners
Lausanne,1,0,-100%,20250404,That Thing,1807227251,listeners
Leesburg,1,0,-100%,20250404,That Thing,1807227251,listeners
Leuven,1,0,-100%,20250404,That Thing,1807227251,listeners
