City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,13,8,-38%,20241018,Althea,1748029276,listeners
Austin,0,1,-,20241018,Althea,1748029276,listeners
Baton Rouge,0,1,-,20241018,Althea,1748029276,listeners
Charlotte,1,1,0%,20241018,Althea,1748029276,listeners
Cincinnati,0,1,-,20241018,Althea,1748029276,listeners
London,0,1,-,20241018,Althea,1748029276,listeners
Minneapolis,0,1,-,20241018,Althea,1748029276,listeners
Portland,0,1,-,20241018,Althea,1748029276,listeners
Spokane,0,1,-,20241018,Althea,1748029276,listeners
Boston,2,0,-100%,20241018,Althea,1748029276,listeners
Calgary,1,0,-100%,20241018,Althea,1748029276,listeners
Denver,1,0,-100%,20241018,Althea,1748029276,listeners
Glasgow,1,0,-100%,20241018,Althea,1748029276,listeners
Indianapolis,0,0,-100%,20241018,Althea,1748029276,listeners
New York City,1,0,-100%,20241018,Althea,1748029276,listeners
Philadelphia,2,0,-100%,20241018,Althea,1748029276,listeners
Pittsburgh,1,0,-100%,20241018,Althea,1748029276,listeners
Seattle,1,0,-100%,20241018,Althea,1748029276,listeners
Springfield,0,0,-100%,20241018,Althea,1748029276,listeners
Sydney,1,0,-100%,20241018,Althea,1748029276,listeners
Worcester,1,0,-100%,20241018,Althea,1748029276,listeners
