City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,12,13,+8%,20250131,Althea,1748029276
Minneapolis,0,2,-,20250131,Althea,1748029276
Baton Rouge,0,1,-,20250131,Althea,1748029276
Beijing,0,1,-,20250131,Althea,1748029276
Charlotte,0,1,-,20250131,Althea,1748029276
Cincinnati,2,1,-50%,20250131,Althea,1748029276
Fort Worth,0,1,-,20250131,Althea,1748029276
Málaga,0,1,-,20250131,Althea,1748029276
San Francisco,0,1,-,20250131,Althea,1748029276
"Washington, D.C.",0,1,-,20250131,Althea,1748029276
Worcester,0,1,-,20250131,Althea,1748029276
Baltimore,1,0,-100%,20250131,Althea,1748029276
Calgary,1,0,-100%,20250131,Althea,1748029276
Castle Rock,1,0,-100%,20250131,Althea,1748029276
Detroit,1,0,-100%,20250131,Althea,1748029276
Los Angeles,1,0,-100%,20250131,Althea,1748029276
Philadelphia,1,0,-100%,20250131,Althea,1748029276
Sydney,1,0,-100%,20250131,Althea,1748029276
Vancouver,1,0,-100%,20250131,Althea,1748029276
Wichita,1,0,-100%,20250131,Althea,1748029276
