City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,29,20,-31%,20241011,Althea,1748029276
Boston,0,3,-,20241011,Althea,1748029276
Charlotte,0,2,-,20241011,Althea,1748029276
Indianapolis,0,2,-,20241011,Althea,1748029276
New York City,1,2,+100%,20241011,Althea,1748029276
Philadelphia,0,2,-,20241011,Althea,1748029276
Sydney,0,2,-,20241011,Althea,1748029276
Calgary,0,1,-,20241011,Althea,1748029276
Denver,0,1,-,20241011,Althea,1748029276
Glasgow,0,1,-,20241011,Althea,1748029276
Pittsburgh,0,1,-,20241011,Althea,1748029276
Seattle,4,1,-75%,20241011,Althea,1748029276
Springfield,0,1,-,20241011,Althea,1748029276
Worcester,1,1,0%,20241011,Althea,1748029276
Dallas,1,0,-100%,20241011,Althea,1748029276
Detroit,1,0,-100%,20241011,Althea,1748029276
Minneapolis,18,0,-100%,20241011,Althea,1748029276
Paris,1,0,-100%,20241011,Althea,1748029276
Prague,1,0,-100%,20241011,Althea,1748029276
St. Louis,1,0,-100%,20241011,Althea,1748029276
