City,Previous Period,Current Period,% Change,Week,Song,Song ID,Measure
All Cities,19,14,-26%,20250418,Althea,1748029276,plays
Sacramento,0,3,-,20250418,Althea,1748029276,plays
San Jose,0,3,-,20250418,Althea,1748029276,plays
Charlotte,1,2,+100%,20250418,Althea,1748029276,plays
San Francisco,2,2,0%,20250418,Althea,1748029276,plays
Detroit,1,1,0%,20250418,Althea,1748029276,plays
Jacksonville,0,1,-,20250418,Althea,1748029276,plays
Los Angeles,0,1,-,20250418,Althea,1748029276,plays
Portland,2,1,-50%,20250418,Althea,1748029276,plays
Atlanta,1,0,-100%,20250418,Althea,1748029276,plays
Brasília,1,0,-100%,20250418,Althea,1748029276,plays
Houston,1,0,-100%,20250418,Althea,1748029276,plays
Milwaukee,1,0,-100%,20250418,Althea,1748029276,plays
Minneapolis,1,0,-100%,20250418,Althea,1748029276,plays
Osaka,1,0,-100%,20250418,Althea,1748029276,plays
Philadelphia,1,0,-100%,20250418,Althea,1748029276,plays
Roanoke,1,0,-100%,20250418,Althea,1748029276,plays
Salt Lake City,1,0,-100%,20250418,Althea,1748029276,plays
"Washington, D.C.",3,0,-100%,20250418,Althea,1748029276,plays
