City,Previous Period,Current Period,% Change,Week,Song,Song ID
All Cities,7,19,+171%,20250411,Althea,1748029276
"Washington, D.C.",0,3,-,20250411,Althea,1748029276
Portland,0,2,-,20250411,Althea,1748029276
San Francisco,0,2,-,20250411,Althea,1748029276
Atlanta,0,1,-,20250411,Althea,1748029276
Brasília,0,1,-,20250411,Althea,1748029276
Charlotte,0,1,-,20250411,Althea,1748029276
Detroit,0,1,-,20250411,Althea,1748029276
Houston,0,1,-,20250411,Althea,1748029276
Milwaukee,0,1,-,20250411,Althea,1748029276
Minneapolis,0,1,-,20250411,Althea,1748029276
Osaka,0,1,-,20250411,Althea,1748029276
Philadelphia,0,1,-,20250411,Althea,1748029276
Roanoke,0,1,-,20250411,Althea,1748029276
Salt Lake City,0,1,-,20250411,Althea,1748029276
Austin,1,0,-100%,20250411,Althea,1748029276
Luziânia,1,0,-100%,20250411,Althea,1748029276
San Diego,1,0,-100%,20250411,Althea,1748029276
Stamford,1,0,-100%,20250411,Althea,1748029276
Tokyo,1,0,-100%,20250411,Althea,1748029276
