city,previous_period,current_period,%_change,week,song,song_id,measure,level,grouping,period_type
All Cities,23,11,-52%,20240927,Artist Level,artist,listeners,artist,city,weekly
Adelaide,0,1,-,20240927,Artist Level,artist,listeners,artist,city,weekly
Allentown,0,1,-,20240927,Artist Level,artist,listeners,artist,city,weekly
Birmingham,0,1,-,20240927,Artist Level,artist,listeners,artist,city,weekly
Brasília,0,1,-,20240927,Artist Level,artist,listeners,artist,city,weekly
Charlotte,0,1,-,20240927,Artist Level,artist,listeners,artist,city,weekly
Cincinnati,0,1,-,20240927,Artist Level,artist,listeners,artist,city,weekly
Dallas,0,1,-,20240927,Artist Level,artist,listeners,artist,city,weekly
Gunnison,1,1,0%,20240927,Artist Level,artist,listeners,artist,city,weekly
Paris,1,1,0%,20240927,Artist Level,artist,listeners,artist,city,weekly
Tokyo,0,1,-,20240927,Artist Level,artist,listeners,artist,city,weekly
Toronto,1,1,0%,20240927,Artist Level,artist,listeners,artist,city,weekly
Baltimore,2,0,-100%,20240927,Artist Level,artist,listeners,artist,city,weekly
Baton Rouge,0,0,-,20240927,Artist Level,artist,listeners,artist,city,weekly
Calgary,1,0,-100%,20240927,Artist Level,artist,listeners,artist,city,weekly
Chicago,1,0,-100%,20240927,Artist Level,artist,listeners,artist,city,weekly
Denver,1,0,-100%,20240927,Artist Level,artist,listeners,artist,city,weekly
Detroit,2,0,-100%,20240927,Artist Level,artist,listeners,artist,city,weekly
Houston,0,0,-,20240927,Artist Level,artist,listeners,artist,city,weekly
Kansas City,1,0,-100%,20240927,Artist Level,artist,listeners,artist,city,weekly
Montréal,1,0,-100%,20240927,Artist Level,artist,listeners,artist,city,weekly
Nashville,1,0,-100%,20240927,Artist Level,artist,listeners,artist,city,weekly
New York City,2,0,-100%,20240927,Artist Level,artist,listeners,artist,city,weekly
Philadelphia,0,0,-100%,20240927,Artist Level,artist,listeners,artist,city,weekly
Portland,1,0,-100%,20240927,Artist Level,artist,listeners,artist,city,weekly
Salt Lake City,1,0,-100%,20240927,Artist Level,artist,listeners,artist,city,weekly
San Diego,1,0,-100%,20240927,Artist Level,artist,listeners,artist,city,weekly
Seoul,1,0,-100%,20240927,Artist Level,artist,listeners,artist,city,weekly
Sydney,1,0,-100%,20240927,Artist Level,artist,listeners,artist,city,weekly
